Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Pablo Muñoz;ESP;MF;Rayo Vallecano;La Liga;19;2;0;0;0
Luis Muriel;COL;FW;Atalanta;Serie A;31;13;6;1;1.72
Jeison Murillo;COL;DF;Sampdoria;Serie A;30;11;8;0;0.13
Vedat Muriqi;KVX;FW;Mallorca;La Liga;28;19;19;8;2.34
Jacob Murphy;ENG;FW;Newcastle Utd;Premier League;27;22;5;1;1.94
Nicola Murru;ITA;DF;Sampdoria;Serie A;28;9;3;0;0.48
Yunus Musah;USA;MF;Valencia;La Liga;20;18;17;0;0.97
Jamal Musiala;GER;MFFW;Bayern Munich;Bundesliga;19;19;17;10;2.65
Juan Musso;ARG;GK;Atalanta;Serie A;28;16;16;0;0
Suliman Mustapha;AUT;FWMF;Mainz 05;Bundesliga;21;5;0;0;2.5
Yvon Mvogo;SUI;GK;Lorient;Ligue 1;28;14;14;0;0
Enock Mwepu;ZAM;FWMF;Brighton;Premier League;25;6;2;0;0.83
Vitaliy Mykolenko;UKR;DFMF;Everton;Premier League;23;21;21;0;0.35
Joakim Mæhle;DEN;DFMF;Atalanta;Serie A;25;19;12;2;1.11
Obite N'Dicka;FRA;DF;Eint Frankfurt;Bundesliga;23;19;19;0;0.37
Nathan N'Goumou;FRA;FW;Toulouse;Ligue 1;22;1;1;0;0
Nathan N'Goumou;FRA;FW;M'Gladbach;Bundesliga;22;10;3;0;0.59
Stanley N'Soki;FRA;DF;Hoffenheim;Bundesliga;23;14;12;1;0.5
Nacho;ESP;DF;Real Madrid;La Liga;33;11;5;0;0.54
Nikolas Nartey;DEN;DFMF;Stuttgart;Bundesliga;22;6;4;0;0.98
Juanjo Narváez;COL;MFFW;Valladolid;La Liga;28;5;1;0;1.88
Matija Nastasi?;SRB;DF;Mallorca;La Liga;29;8;6;0;0.32
Roberto Navarro;ESP;MFFW;Real Sociedad;La Liga;20;14;1;0;3.43
Jesús Navas;ESP;DFFW;Sevilla;La Liga;37;17;12;0;0.42
Keylor Navas;CRC;GK;Nott'ham Forest;Premier League;36;2;2;0;0
Michel Ndary Adopo;FRA;MFDF;Torino;Serie A;22;7;3;0;0.74
Youssouf Ndayishimiye;BDI;MFDF;Nice;Ligue 1;24;4;2;0;0.45
Papa Ndiaga Yade;SEN;DFMF;Troyes;Ligue 1;23;8;3;0;1.94
Wilfred Ndidi;NGA;MFDF;Leicester City;Premier League;26;15;10;0;0.5
Tanguy Ndombele;FRA;MF;Napoli;Serie A;26;19;6;0;2.13
Álvaro Negredo;ESP;FW;Cádiz;La Liga;37;14;7;1;2.1
Reiss Nelson;ENG;FW;Arsenal;Premier League;23;2;0;2;4.29
Ilija Nestorovski;MKD;FWMF;Udinese;Serie A;32;10;0;1;2.31
Neto;BRA;GK;Bournemouth;Premier League;33;12;12;0;0
Pedro Neto;POR;FWMF;Wolves;Premier League;22;8;8;0;1.64
Luca Netz;GER;DFFW;M'Gladbach;Bundesliga;19;8;1;0;0
Manuel Neuer;GER;GK;Bayern Munich;Bundesliga;36;12;12;0;0.17
Florian Neuhaus;GER;MF;M'Gladbach;Bundesliga;25;9;6;0;1.53
Rúben Neves;POR;MF;Wolves;Premier League;25;21;21;5;1.9
Neymar;BRA;MFFW;Paris S-G;Ligue 1;31;19;17;12;2.05
Jessic Ngankam;GER;MFFW;Hertha BSC;Bundesliga;22;4;0;0;3.13
Cyril Ngonge;BEL;FWMF;Hellas Verona;Serie A;22;2;1;1;6.67
Moussa Niakhate;FRA;DF;Nott'ham Forest;Premier League;26;2;2;0;1.67
Ibrahima Niane;SEN;FW;Angers;Ligue 1;23;1;1;0;2.5
M'Baye Niang;SEN;FW;Auxerre;Ligue 1;28;17;13;3;1.91
Tanguy Nianzou;FRA;DF;Sevilla;La Liga;20;13;11;1;0.4
Rasmus Nicolaisen;DEN;DF;Toulouse;Ligue 1;25;21;21;0;0.39
Hans Nicolussi Caviglia;ITA;MF;Salernitana;Serie A;22;5;4;1;0.47
Florian Niederlechner;GER;FWMF;Augsburg;Bundesliga;32;14;10;4;2.77
Florian Niederlechner;GER;FW;Hertha BSC;Bundesliga;32;2;1;0;4.55
Saúl Ñíguez;ESP;MFDF;Atlético Madrid;La Liga;28;16;6;1;1.67
Dimitris Nikolaou;GRE;DF;Spezia;Serie A;24;20;19;0;0.32
Fernando Niño;ESP;MF;Villarreal;La Liga;22;1;0;0;0
Rasmus Nissen;DEN;DF;Leeds United;Premier League;25;14;13;0;0.56
Justin Njinmah;GER;FW;Dortmund;Bundesliga;22;1;0;0;0
Eddie Nketiah;ENG;FW;Arsenal;Premier League;23;19;7;4;3.45
Christopher Nkunku;FRA;FWMF;RB Leipzig;Bundesliga;25;15;14;12;2.89
Lukas Nmecha;GER;FW;Wolfsburg;Bundesliga;24;13;10;4;2.26
Diego Noguerol;ESP;FWDF;Valencia;La Liga;20;1;0;0;0
Arnaud Nordin;FRA;FWMF;Montpellier;Ligue 1;24;20;14;4;1.69
Riad Nouri;FRA;MF;Ajaccio;Ligue 1;37;21;12;1;0.96
Hugo Novoa;ESP;DFFW;RB Leipzig;Bundesliga;20;7;2;1;1.5
Randy Ntekja;FRA;FW;Elche;La Liga;25;1;0;0;0
Randy Ntekja;FRA;FWMF;Rayo Vallecano;La Liga;25;10;0;0;3.08
Alexander Nübel;GER;GK;Monaco;Ligue 1;26;23;23;0;0
Matheus Nunes;POR;MF;Wolves;Premier League;24;19;17;0;1.41
Darwin Núñez;URU;FW;Liverpool;Premier League;23;15;11;5;5.55
Unai Núñez;ESP;DF;Celta Vigo;La Liga;26;19;19;0;0.42
Bram Nuytinck;NED;DF;Udinese;Serie A;32;6;3;0;0.23
Bram Nuytinck;NED;DF;Sampdoria;Serie A;32;6;6;0;0.37
Ethan Nwaneri;ENG;FW;Arsenal;Premier League;15;1;0;0;0
Gerzino Nyamsi;FRA;DF;Strasbourg;Ligue 1;26;12;12;0;0.46
Ørjan Nyland;NOR;GK;RB Leipzig;Bundesliga;32;1;1;0;0
M'Bala Nzola;ANG;FW;Spezia;Serie A;26;18;18;9;2.26
Christian Nørgaard;DEN;MF;Brentford;Premier League;28;12;11;1;0.93
Lewis O'Brien;ENG;MF;Nott'ham Forest;Premier League;24;13;6;1;1.08
Pedro Obiang;EQG;MF;Sassuolo;Serie A;30;10;7;0;0.81
Jan Oblak;SVN;GK;Atlético Madrid;La Liga;30;18;18;0;0
Brian Ocampo;URU;MFFW;Cádiz;La Liga;23;17;14;1;1.1
Lucas Ocampos;ARG;FWMF;Sevilla;La Liga;28;7;2;0;2.9
Guillermo Ochoa;MEX;GK;Salernitana;Serie A;37;6;6;0;0
Wilson Odobert;FRA;MFFW;Troyes;Ligue 1;18;20;8;3;1.53
Tim Oermann;GER;DF;Bochum;Bundesliga;19;4;2;0;0
Angelo Ogbonna;ITA;DF;West Ham;Premier League;34;7;5;0;0.19
Florent Ogier;FRA;DF;Clermont Foot;Ligue 1;33;14;10;0;0.19
David Okereke;NGA;FWMF;Cremonese;Serie A;25;20;17;5;2.25
Caleb Okoli;ITA;DF;Atalanta;Serie A;21;13;9;0;0.53
Olasagasti;ESP;MFDF;Real Sociedad;La Liga;22;3;0;0;4.29
Lucas Olaza;URU;DF;Valladolid;La Liga;28;12;9;0;0.31
Finn Ole Becker;GER;MF;Hoffenheim;Bundesliga;22;2;0;0;0
Mathias Olesen;LUX;MF;Köln;Bundesliga;21;7;4;0;0
Michael Olise;FRA;MFFW;Crystal Palace;Premier League;21;21;15;2;1.5
Brian Oliván;ESP;DF;Espanyol;La Liga;28;19;19;0;0.55
Lucas Oliveira Rosa;BRA;DF;Valladolid;La Liga;22;10;7;0;0.47
Mathías Olivera;URU;DF;Napoli;Serie A;25;15;5;1;0.34
Dani Olmo;ESP;MFFW;RB Leipzig;Bundesliga;24;13;10;2;3.13
Robin Olsen;SWE;GK;Aston Villa;Premier League;33;3;2;0;0
Warmed Omari;FRA;DF;Rennes;Ligue 1;22;2;2;0;0
Jonas Omlin;SUI;GK;Montpellier;Ligue 1;29;14;14;0;0
Jonas Omlin;SUI;GK;M'Gladbach;Bundesliga;29;4;4;0;0
Ado Onaiwu;JPN;FW;Toulouse;Ligue 1;27;19;4;1;1.32
Amadou Onana;BEL;MF;Everton;Premier League;21;19;17;1;1.21
André Onana;CMR;GK;Inter;Serie A;26;13;13;0;0
Jean Onana;CMR;MF;Lens;Ligue 1;23;11;5;0;0.75
Karim Onisiwo;AUT;FWMF;Mainz 05;Bundesliga;30;20;20;8;2.59
Josh Onomah;ENG;MF;Fulham;Premier League;25;2;0;0;0
Paul Onuachu;NGA;FW;Southampton;Premier League;28;2;1;0;0.77
Frank Onyeka;NGA;MF;Brentford;Premier League;25;12;4;0;0.61
Loïs Openda;BEL;FW;Lens;Ligue 1;22;22;16;9;3.44
Willi Orban;HUN;DF;RB Leipzig;Bundesliga;30;19;19;3;0.89
Ivan Ordets;UKR;DF;Bochum;Bundesliga;30;18;16;0;0.32
Divock Origi;BEL;FW;Milan;Serie A;27;15;5;2;2.7
Aimar Oroz;ESP;MFFW;Osasuna;La Liga;21;16;11;3;1.11
Mislav Orši?;CRO;MF;Southampton;Premier League;30;1;0;0;0
Riccardo Orsolini;ITA;FW;Bologna;Serie A;26;18;12;5;3.59
Pedro Ortiz;ESP;MF;Sevilla;La Liga;22;1;0;0;0
Jordi Osei-Tutu;ENG;FWDF;Bochum;Bundesliga;24;15;5;0;1.72
Victor Osimhen;NGA;FW;Napoli;Serie A;24;17;16;16;4.42
Patrick Osterhage;GER;MFFW;Bochum;Bundesliga;23;13;3;0;0.5
Paulo Otávio;BRA;DF;Wolfsburg;Bundesliga;28;17;17;0;0.89
Dango Ouattara;BFA;MF;Bournemouth;Premier League;21;3;3;0;3.45
Dango Ouattara;BFA;FWMF;Lorient;Ligue 1;21;18;18;6;3.02
Remi Oudin;FRA;FWMF;Lecce;Serie A;26;15;2;0;2.57
Zinédine Ould Khaled;FRA;MFFW;Angers;Ligue 1;23;2;0;0;2
Azzedine Ounahi;MAR;MF;Marseille;Ligue 1;22;3;0;1;5
Azzedine Ounahi;MAR;MFFW;Angers;Ligue 1;22;15;13;0;1.84
Adam Ounas;ALG;FW;Napoli;Serie A;26;2;0;0;5
Adam Ounas;ALG;FW;Lille;Ligue 1;26;13;9;1;2.41
Thomas Ouwejan;NED;DF;Schalke 04;Bundesliga;26;11;9;0;0.6
Reece Oxford;ENG;DF;Augsburg;Bundesliga;24;3;1;0;0
Alex Oxlade-Chamberlain;ENG;FWMF;Liverpool;Premier League;29;8;4;1;2
Mikel Oyarzabal;ESP;FWMF;Real Sociedad;La Liga;25;6;1;1;1.05
Salih Özcan;TUR;MF;Dortmund;Bundesliga;25;16;14;0;0.15
Cenk Özkacar;TUR;DF;Valencia;La Liga;22;6;4;0;1.05
David Ozoh;;FW;Crystal Palace;Premier League;17;1;0;0;0
Levin Öztunalý;GER;MF;Union Berlin;Bundesliga;26;2;0;0;0
Fernando Pacheco;ESP;GK;Almería;La Liga;30;1;1;0;0
Jon Pacheco;ESP;DF;Real Sociedad;La Liga;22;9;7;0;0.13
Gonçalo Paciência;POR;FW;Celta Vigo;La Liga;28;12;4;1;3.86
Simone Pafundi;ITA;MF;Udinese;Serie A;16;1;0;0;0
Exequiel Palacios;ARG;MF;Leverkusen;Bundesliga;24;15;10;1;0.86
Helibelton Palacios;COL;DF;Elche;La Liga;29;15;14;0;0.23
Ante Palaversa;CRO;MF;Troyes;Ligue 1;22;1;0;1;10
Isaac Palazón Camacho;ESP;FWMF;Rayo Vallecano;La Liga;28;19;18;5;2.57
João Palhinha;POR;MF;Fulham;Premier League;27;22;22;3;1.29
Nicolas Pallois;FRA;DF;Nantes;Ligue 1;35;16;16;0;0.26
Cole Palmer;ENG;FWMF;Manchester City;Premier League;20;9;0;0;1.54
Erik Palmer-Brown;USA;DF;Troyes;Ligue 1;25;22;21;0;0.24
Emerson Palmieri;ITA;DFMF;West Ham;Premier League;28;11;7;1;1.15
Miloš Pantovi?;SRB;MF;Union Berlin;Bundesliga;26;8;0;1;2.5
Flavio Paoletti;ITA;MF;Sampdoria;Serie A;20;4;0;0;0
Antonios Papadopoulos;GER;DF;Dortmund;Bundesliga;23;1;0;0;10
Lucas Paquetá;BRA;MF;West Ham;Premier League;25;15;14;2;2.58
Lucas Paquetá;BRA;MF;Lyon;Ligue 1;25;2;2;0;2.78
Aitor Paredes;ESP;DF;Athletic Club;La Liga;22;6;1;0;2.5
Kevin Paredes;USA;MFFW;Wolfsburg;Bundesliga;19;12;1;1;0.61
Leandro Paredes;ARG;MF;Juventus;Serie A;28;13;4;0;1.55
Leandro Paredes;ARG;MF;Paris S-G;Ligue 1;28;3;0;0;0
Daniel Parejo;ESP;MF;Villarreal;La Liga;33;20;20;1;0.72
Fabiano Parisi;ITA;DF;Empoli;Serie A;22;20;20;2;0.74
Moises Parra Gutierrez;ESP;FW;Getafe;La Liga;20;1;0;0;0
Raúl Parra;ESP;DFMF;Cádiz;La Liga;23;2;0;0;0
Thomas Partey;GHA;MF;Arsenal;Premier League;29;18;18;2;1.29
Marco Pašali?;CRO;MF;Dortmund;Bundesliga;22;1;0;0;10
Mario Pašali?;CRO;MFFW;Atalanta;Serie A;28;19;12;2;1.14
Felix Passlack;GER;DF;Dortmund;Bundesliga;24;2;0;0;0
Javier Pastore;ARG;MF;Elche;La Liga;33;1;0;0;0
Patric;ESP;DF;Lazio;Serie A;29;11;9;0;0.11
Rui Patrício;POR;GK;Roma;Serie A;34;22;22;0;0
Nathan Patterson;SCO;DFMF;Everton;Premier League;21;13;11;0;0.73
Paulinho;BRA;FW;Leverkusen;Bundesliga;22;4;1;1;2.22
Gabriel Paulista;BRA;DF;Valencia;La Liga;32;12;9;1;1.34
Benjamin Pavard;FRA;DF;Bayern Munich;Bundesliga;26;17;15;1;1.05
Ji?í Pavlenka;CZE;GK;Werder Bremen;Bundesliga;30;20;20;0;0
Dimitri Payet;FRA;MFFW;Marseille;Ligue 1;35;18;8;2;2.69
Ben Pearson;ENG;MF;Bournemouth;Premier League;28;7;3;0;0.63
Kristian Pedersen;DEN;DF;Köln;Bundesliga;28;5;3;0;0.33
Mads Pedersen;DEN;DFMF;Augsburg;Bundesliga;26;16;11;0;0.17
Alfonso Pedraza;ESP;DF;Villarreal;La Liga;26;12;10;0;1.61
Pedri;ESP;MFFW;Barcelona;La Liga;20;20;17;5;0.94
Pedro;ESP;FW;Lazio;Serie A;35;20;9;3;1.85
Jordan Pefok;USA;FW;Union Berlin;Bundesliga;26;18;13;4;2.11
Gianluca Pegolo;ITA;GK;Sassuolo;Serie A;41;2;2;0;0
Peter Pekarík;SVK;DF;Hertha BSC;Bundesliga;36;3;1;0;0
Pietro Pellegri;ITA;FW;Torino;Serie A;21;11;4;1;1.46
Lorenzo Pellegrini;ITA;MF;Roma;Serie A;26;19;19;2;2.01
Luca Pellegrini;ITA;DF;Eint Frankfurt;Bundesliga;23;9;7;0;2.26
Facundo Pellistri;URU;FW;Manchester Utd;Premier League;21;1;0;0;0
Timothee Pembele;FRA;DF;Paris S-G;Ligue 1;20;1;1;0;2.86
Rubén Peña;ESP;DFMF;Osasuna;La Liga;31;11;7;0;1.51
Patrick Pentz;AUT;GK;Reims;Ligue 1;26;7;7;0;0
Nicolas Pépé;CIV;FWMF;Nice;Ligue 1;27;15;14;6;2.87
Ricardo Pepi;USA;FW;Augsburg;Bundesliga;20;4;1;0;0.91
Pepín;EQG;MF;Monza;Serie A;26;10;7;0;0.63
Alberto Perea;ESP;MF;Cádiz;La Liga;32;1;1;0;0
Juan Perea;COL;FW;Stuttgart;Bundesliga;22;12;1;0;0
Andreas Pereira;BRA;MF;Fulham;Premier League;27;23;23;2;1.42
Brayann Pereira;FRA;DF;Auxerre;Ligue 1;19;2;2;0;0
Danilo Pereira;POR;DFMF;Paris S-G;Ligue 1;31;18;14;1;0.98
Mathias Pereira Lage;POR;MFFW;Brest;Ligue 1;26;18;14;1;1.5
Ricardo Pereira;POR;MFFW;Leicester City;Premier League;29;1;0;0;0
Roberto Pereyra;ARG;DFMF;Udinese;Serie A;32;18;18;2;1.45
Ayoze Pérez;ESP;MFFW;Leicester City;Premier League;29;8;3;0;1.9
Ayoze Pérez;ESP;FW;Betis;La Liga;29;2;0;0;2
Carles Pérez;ESP;MFFW;Celta Vigo;La Liga;24;19;9;0;2.21
Francisco Perez;ESP;FWDF;Valencia;La Liga;20;4;0;0;2
Kike Pérez;ESP;MF;Valladolid;La Liga;25;19;15;0;1.68
Lucas Pérez;ESP;FW;Cádiz;La Liga;34;14;5;3;2.43
Luis Pérez;ESP;DF;Valladolid;La Liga;28;9;7;0;0.15
Nehuén Pérez;ARG;DF;Udinese;Serie A;22;19;19;1;0.69
Mattia Perin;ITA;GK;Juventus;Serie A;30;7;6;0;0
Ivan Periši?;CRO;DFMF;Tottenham;Premier League;34;23;16;0;0.95
Romain Perraud;FRA;DF;Southampton;Premier League;25;20;14;2;1.76
Gaëtan Perrin;FRA;MFFW;Auxerre;Ligue 1;26;21;8;2;1.63
Lucas Perrin;FRA;DF;Strasbourg;Ligue 1;24;13;9;0;0.1
Matteo Pessina;ITA;MF;Monza;Serie A;25;19;18;3;0.94
Andrea Petagna;ITA;FW;Monza;Serie A;27;16;10;2;1.77
Nils Petersen;GER;FW;Freiburg;Bundesliga;34;16;0;0;1.9
Lukas Petkov;GER;MFFW;Augsburg;Bundesliga;22;7;0;0;1.25
Germán Pezzella;ARG;DF;Betis;La Liga;31;18;16;0;0.44
Giuseppe Pezzella;ITA;DF;Lecce;Serie A;25;10;7;0;0.28
Luca Pfeiffer;GER;FW;Stuttgart;Bundesliga;26;14;6;0;1.67
Maximilian Philipp;GER;FW;Wolfsburg;Bundesliga;28;3;1;0;0.77
Maximilian Philipp;GER;MF;Werder Bremen;Bundesliga;28;1;0;0;0
Kalvin Phillips;ENG;MF;Manchester City;Premier League;27;3;0;0;5
Nathaniel Phillips;ENG;DF;Liverpool;Premier League;25;2;1;0;1.43
Krzysztof Pi?tek;POL;FW;Salernitana;Serie A;27;17;13;3;2.42
Roberto Piccoli;ITA;FW;Hellas Verona;Serie A;22;7;2;0;1.9
Roberto Piccoli;ITA;MFFW;Empoli;Serie A;22;2;0;0;2.86
Charles Pickel;SUI;MF;Cremonese;Serie A;25;19;17;1;1.1
Jordan Pickford;ENG;GK;Everton;Premier League;28;20;20;0;0
Amos Pieper;GER;DF;Werder Bremen;Bundesliga;25;19;17;1;0.55
Ronaël Pierre-Gabriel;FRA;DF;Espanyol;La Liga;24;1;1;0;2
Ronaël Pierre-Gabriel;FRA;DF;Strasbourg;Ligue 1;24;14;7;0;0.41
Andrea Pinamonti;ITA;FW;Sassuolo;Serie A;23;17;16;3;2.69
Ethan Pinnock;JAM;DF;Brentford;Premier League;29;14;14;0;0.5
Yeremi Pino;ESP;MFFW;Villarreal;La Liga;20;19;14;2;1.69
Gerard Piqué;ESP;DF;Barcelona;La Liga;36;6;4;0;0.7
Lorenzo Pirola;ITA;DF;Salernitana;Serie A;20;9;6;0;0.3
Marko Pjaca;CRO;MFFW;Empoli;Serie A;27;10;5;0;2.89
Óscar Plano;ESP;FWMF;Valladolid;La Liga;32;20;13;1;1.27
Gonzalo Plata;ECU;FWMF;Valladolid;La Liga;22;16;9;0;1.76
Marvin Plattenhardt;GER;DF;Hertha BSC;Bundesliga;31;16;15;0;0.29
Alassane Pléa;FRA;FW;M'Gladbach;Bundesliga;29;15;12;2;1.38
Tommaso Pobega;ITA;MF;Milan;Serie A;23;13;6;1;1.56
Daniel Podence;POR;FWMF;Wolves;Premier League;27;21;16;5;2.26
Joel Pohjanpalo;FIN;FWMF;Leverkusen;Bundesliga;28;1;0;0;0
Matteo Politano;ITA;FW;Napoli;Serie A;29;19;10;3;2.17
Sebastian Polter;GER;FWMF;Schalke 04;Bundesliga;31;14;4;1;1.15
Ezequiel Ponce;ARG;FW;Elche;La Liga;25;19;5;3;2.11
Julien Ponceau;FRA;MF;Lorient;Ligue 1;22;19;14;0;0.56
Marin Pongra?i?;CRO;DF;Lecce;Serie A;25;9;9;0;0.11
Nick Pope;ENG;GK;Newcastle Utd;Premier League;30;22;22;0;0
?ukasz Por?ba;POL;MF;Lens;Ligue 1;22;7;3;0;1.11
Jackson Porozo;ECU;DF;Troyes;Ligue 1;22;15;14;2;1.24
Pedro Porro;ESP;DF;Tottenham;Premier League;23;1;1;0;0
Francisco Portillo;ESP;FWMF;Almería;La Liga;32;15;2;2;0.75
Portu;ESP;DFMF;Getafe;La Liga;30;17;6;0;1.15
Stefan Posch;AUT;DF;Bologna;Serie A;25;14;14;4;0.88
Stefan Posch;AUT;DF;Hoffenheim;Bundesliga;25;1;1;0;0
Yussuf Poulsen;DEN;FWDF;RB Leipzig;Bundesliga;28;11;1;1;2
José Pozo;ESP;MF;Rayo Vallecano;La Liga;26;6;1;0;1.25
Alejandro Pozo Pozo;ESP;DF;Almería;La Liga;23;17;11;0;0.35
Dennis Praet;BEL;MFFW;Leicester City;Premier League;28;12;4;1;0.48
Abdón Prats;ESP;FWMF;Mallorca;La Liga;30;14;1;1;3
Sanjin Prci?;BIH;MF;Strasbourg;Ligue 1;29;20;16;1;1.51
Isaac Price;NIR;MF;Everton;Premier League;19;1;0;0;0
Grischa Prömel;GER;MF;Hoffenheim;Bundesliga;28;13;13;1;1.85
Ivan Provedel;ITA;GK;Lazio;Serie A;28;22;21;0;0
Javi Puado;ESP;FWMF;Espanyol;La Liga;24;19;12;3;2.19
Mehdi Puch Herrantz;FRA;MF;Ajaccio;Ligue 1;19;1;0;0;0
Tymoteusz Puchacz;POL;DF;Union Berlin;Bundesliga;24;1;1;0;0
Arnau Puigmal;ESP;MFDF;Almería;La Liga;22;11;1;0;1.94
Christian Pulisic;USA;FWDF;Chelsea;Premier League;24;16;6;1;2.21
Ignacio Pussetto;ARG;MFDF;Sampdoria;Serie A;27;5;1;0;1.18
Niklas Pyyhtiä;FIN;MF;Bologna;Serie A;19;3;0;0;5
Fabio Quagliarella;ITA;FW;Sampdoria;Serie A;40;15;2;0;4.5
Giacomo Quagliata;ITA;DF;Cremonese;Serie A;22;13;4;0;1.64
Joshua Quarshie;GER;MF;Hoffenheim;Bundesliga;18;1;0;0;0
Ghjuvanni Quilichini;FRA;GK;Ajaccio;Ligue 1;20;1;0;0;0
Domingos Quina;POR;MF;Elche;La Liga;23;10;2;0;1.94
Adrien Rabiot;FRA;MF;Juventus;Serie A;27;17;16;3;1.42
Nemanja Radonji?;SRB;MFFW;Torino;Serie A;26;19;10;2;3.43
Ivan Radovanovi?;SRB;MFDF;Salernitana;Serie A;34;10;7;0;0.93
Ionu? Radu;ROU;GK;Cremonese;Serie A;25;9;9;0;0
Ionu? Radu;ROU;GK;Auxerre;Ligue 1;25;3;3;0;0
Antonio Raillo;ESP;DF;Mallorca;La Liga;31;20;20;1;0.3
Predrag Rajkovi?;SRB;GK;Mallorca;La Liga;27;21;21;0;0
Ivan Rakiti?;CRO;MF;Sevilla;La Liga;34;17;11;1;1.62
Diant Ramaj;GER;GK;Eint Frankfurt;Bundesliga;21;1;1;0;0
Largie Ramazani;BEL;FWMF;Almería;La Liga;21;19;12;2;2.52
Adil Rami;FRA;DF;Troyes;Ligue 1;37;7;5;0;0.67
Chris Ramos;ESP;MF;Cádiz;La Liga;26;1;0;0;0
Sergio Ramos;ESP;DF;Paris S-G;Ligue 1;36;20;18;0;0.59
Aaron Ramsdale;ENG;GK;Arsenal;Premier League;24;21;21;0;0
Aaron Ramsey;WAL;MF;Nice;Ligue 1;32;18;11;1;1.5
Jacob Ramsey;ENG;MF;Aston Villa;Premier League;21;18;15;2;0.88
Luca Ranieri;ITA;DF;Fiorentina;Serie A;23;2;2;0;0
Andrea Ranocchia;ITA;DF;Monza;Serie A;34;1;1;0;0
Filippo Ranocchia;ITA;MF;Monza;Serie A;21;11;5;1;2.45
Lilian Raolisoa;FRA;MFDF;Angers;Ligue 1;22;2;0;0;0
Raphinha;BRA;FW;Barcelona;La Liga;26;19;11;4;3.64
Nicolai Rapp;GER;MFDF;Werder Bremen;Bundesliga;26;7;0;0;1.25
Elba Rashani;KVX;MFDF;Clermont Foot;Ligue 1;29;20;15;2;1.4
Marcus Rashford;ENG;FW;Manchester Utd;Premier League;25;22;20;11;3.02
Giacomo Raspadori;ITA;FWMF;Napoli;Serie A;22;14;7;1;3.91
Giacomo Raspadori;ITA;FW;Sassuolo;Serie A;22;1;0;0;0
Rafael Ratão;BRA;FW;Toulouse;Ligue 1;27;17;16;4;1.34
David Raum;GER;DFFW;RB Leipzig;Bundesliga;24;19;14;0;0.69
Rayan Raveloson;MAD;MFDF;Auxerre;Ligue 1;26;18;11;0;1.25
David Raya;ESP;GK;Brentford;Premier League;27;22;22;0;0
Tim Ream;USA;DF;Fulham;Premier League;35;23;23;1;0.13
Ante Rebi?;CRO;FW;Milan;Serie A;29;13;5;3;3.16
Arkadiusz Reca;POL;DF;Spezia;Serie A;27;18;16;1;0.74
Nathan Redmond;ENG;DF;Southampton;Premier League;28;1;0;0;0
Harrison Reed;ENG;MF;Fulham;Premier League;28;22;22;2;0.79
Sergio Reguilón;ESP;DF;Atlético Madrid;La Liga;26;4;0;0;0
Bobby Reid;JAM;FWDF;Fulham;Premier League;30;22;22;4;1.24
Pepe Reina;ESP;GK;Villarreal;La Liga;40;5;5;0;0
Jeff Reine-Adélaïde;FRA;MF;Troyes;Ligue 1;25;1;0;0;0
Jeff Reine-Adélaïde;FRA;MF;Lyon;Ligue 1;25;14;1;0;2.7
Reinier;BRA;MFFW;Girona;La Liga;21;7;3;1;1.14
Rocco Reitz;GER;MF;M'Gladbach;Bundesliga;20;1;0;0;0
Karim Rekik;NED;DF;Sevilla;La Liga;28;10;9;1;0.68
Álex Remiro;ESP;GK;Real Sociedad;La Liga;27;20;20;0;0
Panagiotis Retsos;GRE;DF;Hellas Verona;Serie A;24;2;1;0;0.71
Marco Reus;GER;MF;Dortmund;Bundesliga;33;12;9;2;2.07
Alejandro Revuelta Montero;ESP;DF;Getafe;La Liga;22;1;0;0;0
Elvis Rexhbeçaj;GER;MF;Augsburg;Bundesliga;25;19;19;0;0.51
Gio Reyna;USA;FWMF;Dortmund;Bundesliga;20;14;4;5;2.68
Chadi Riad;ESP;MF;Barcelona;La Liga;19;1;0;0;0
Nico Ribaudo;ESP;FWMF;Espanyol;La Liga;21;14;6;0;1.9
Alexsandro Ribeiro;BRA;DF;Lille;Ligue 1;23;8;4;1;0.4
Franck Ribéry;FRA;MF;Salernitana;Serie A;39;1;0;0;0
Samuele Ricci;ITA;MF;Torino;Serie A;21;15;13;1;0.83
Declan Rice;ENG;MF;West Ham;Premier League;24;22;22;1;1.14
Chris Richards;USA;DF;Crystal Palace;Premier League;22;7;3;0;1.03
Richarlison;BRA;MFFW;Tottenham;Premier League;25;14;5;0;2.5
Marco Richter;GER;MFFW;Hertha BSC;Bundesliga;25;16;9;3;2.92
Diego Rico;ESP;DF;Real Sociedad;La Liga;29;13;11;0;0.34
Jaïro Riedewald;NED;DFFW;Crystal Palace;Premier League;26;4;0;0;0
Manuel Riemann;GER;GK;Bochum;Bundesliga;34;20;20;0;0
Tomás Rincón;VEN;MF;Sampdoria;Serie A;35;18;16;0;0.61
Rémy Riou;FRA;GK;Lyon;Ligue 1;35;4;3;0;0
Renaud Ripart;FRA;FWMF;Troyes;Ligue 1;29;19;11;3;2.77
Rodrigo Riquelme;ESP;MFFW;Girona;La Liga;22;20;14;3;2.41
Matt Ritchie;SCO;FW;Newcastle Utd;Premier League;33;2;0;0;0
Sergi Roberto;ESP;DF;Barcelona;La Liga;31;12;5;2;1
