Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Federico Bonazzoli;ITA;FW;Salernitana;Serie A;25;19;10;2;2.8
Warren Bondo;FRA;MF;Monza;Serie A;19;4;0;0;1.43
Theo Bongonda;COD;MF;Cádiz;La Liga;27;14;10;2;2.11
Kevin Bonifazi;ITA;DF;Bologna;Serie A;26;7;4;0;0.43
Leonardo Bonucci;ITA;DF;Juventus;Serie A;35;9;6;1;0.3
Neto Borges;BRA;DF;Clermont Foot;Ligue 1;26;20;20;2;0.84
Yvandro Borges Sanches;LUX;FWMF;M'Gladbach;Bundesliga;18;3;0;0;3.33
Sebastiaan Bornauw;BEL;DF;Wolfsburg;Bundesliga;23;15;14;0;0.16
Rafael Borré;COL;FWMF;Eint Frankfurt;Bundesliga;27;18;4;2;2
Erik Botheim;NOR;FW;Salernitana;Serie A;23;15;3;1;1.08
Sven Botman;NED;DF;Newcastle Utd;Premier League;23;20;19;0;0.59
Kenji-Van Boto;MAD;DF;Auxerre;Ligue 1;26;1;1;0;1
Kouamé Botué;BFA;FWMF;Ajaccio;Ligue 1;20;7;2;0;2.8
Badredine Bouanani;ALG;FWMF;Nice;Ligue 1;18;4;2;0;1.5
Hicham Boudaoui;ALG;MF;Nice;Ligue 1;23;13;9;0;0.47
Franci Bouebari;FRA;DF;Strasbourg;Ligue 1;19;2;0;0;0
Sofiane Boufal;MAR;FWMF;Angers;Ligue 1;29;13;9;4;2.26
Wassim Boullif;ESP;DFMF;Espanyol;La Liga;18;4;0;0;0
Yassine Bounou;MAR;GK;Sevilla;La Liga;31;19;19;0;0
Ismaëlben Boura;FRA;DFFW;Lens;Ligue 1;22;9;0;0;2
Mehdi Bourabia;MAR;MF;Spezia;Serie A;31;22;21;0;0.76
Benjamin Bourigeaud;FRA;MFFW;Rennes;Ligue 1;29;21;21;3;1.69
Edoardo Bove;ITA;MF;Roma;Serie A;20;10;1;0;2.5
Jarrod Bowen;ENG;FWMF;West Ham;Premier League;26;22;22;4;2.01
Lucas Boyé;ARG;FW;Elche;La Liga;26;18;15;1;2
Jayden Braaf;NED;MF;Hellas Verona;Serie A;20;1;1;0;1.25
Domagoj Bradari?;CRO;DF;Salernitana;Serie A;23;16;10;0;0.36
Bilal Brahimi;ALG;FWMF;Nice;Ligue 1;22;15;3;3;1.8
